"startTime";"endTime";"Wind power production - real time data"
"2024-03-29T08:25:00.000Z";"2024-03-29T08:25:00.000Z";2138.9
"2024-03-29T08:28:00.000Z";"2024-03-29T08:28:00.000Z";2157.9
"2024-03-29T08:31:00.000Z";"2024-03-29T08:31:00.000Z";2154.5
"2024-03-29T08:34:00.000Z";"2024-03-29T08:34:00.000Z";2178
"2024-03-29T08:37:00.000Z";"2024-03-29T08:37:00.000Z";2155
"2024-03-29T08:40:00.000Z";"2024-03-29T08:40:00.000Z";2150.5
"2024-03-29T08:43:00.000Z";"2024-03-29T08:43:00.000Z";2117.19999
"2024-03-29T08:46:00.000Z";"2024-03-29T08:46:00.000Z";2129
"2024-03-29T08:49:00.000Z";"2024-03-29T08:49:00.000Z";2114
"2024-03-29T08:52:00.000Z";"2024-03-29T08:52:00.000Z";2111
"2024-03-29T08:55:00.000Z";"2024-03-29T08:55:00.000Z";2128.5
"2024-03-29T08:58:00.000Z";"2024-03-29T08:58:00.000Z";2132
"2024-03-29T09:01:00.000Z";"2024-03-29T09:01:00.000Z";2117
"2024-03-29T09:04:00.000Z";"2024-03-29T09:04:00.000Z";2073.5
"2024-03-29T09:07:00.000Z";"2024-03-29T09:07:00.000Z";2044.5
"2024-03-29T09:10:00.000Z";"2024-03-29T09:10:00.000Z";2068
"2024-03-29T09:13:00.000Z";"2024-03-29T09:13:00.000Z";2045.5
"2024-03-29T09:16:00.000Z";"2024-03-29T09:16:00.000Z";2025.5
"2024-03-29T09:19:00.000Z";"2024-03-29T09:19:00.000Z";2028
"2024-03-29T09:22:00.000Z";"2024-03-29T09:22:00.000Z";2053.5
"2024-03-29T09:25:00.000Z";"2024-03-29T09:25:00.000Z";2042.5
"2024-03-29T09:28:00.000Z";"2024-03-29T09:28:00.000Z";2025.5
"2024-03-29T09:31:00.000Z";"2024-03-29T09:31:00.000Z";1996.5
"2024-03-29T09:34:00.000Z";"2024-03-29T09:34:00.000Z";2005
"2024-03-29T09:37:00.000Z";"2024-03-29T09:37:00.000Z";2005.5
"2024-03-29T09:40:00.000Z";"2024-03-29T09:40:00.000Z";1999.09999
"2024-03-29T09:43:00.000Z";"2024-03-29T09:43:00.000Z";1972.09999
"2024-03-29T09:46:00.000Z";"2024-03-29T09:46:00.000Z";1998.5
"2024-03-29T09:49:00.000Z";"2024-03-29T09:49:00.000Z";2003.4
"2024-03-29T09:52:00.000Z";"2024-03-29T09:52:00.000Z";2012.4
"2024-03-29T09:55:00.000Z";"2024-03-29T09:55:00.000Z";2011.5
"2024-03-29T09:58:00.000Z";"2024-03-29T09:58:00.000Z";2016
